MovieName,ReleaseYear,Duration,IMDBRating,Metascore,Votes,Genre,Gross,GrossRevenue ,Budget
The Godfather,1972,175,9.2,100,2002655,Crime,$134.97M,134970000,6000000
Ordinary People,1980,124,7.7,86,56476,Drama,$54.80M,54800000,6000000
Lawrence of Arabia,1962,218,8.3,100,313044,Adventure,$44.82M,44820000,15000000
Close Encounters of the Third Kind,1977,138,7.6,90,216050,Drama,$132.09M,132090000,20000000
The Dirty Dozen,1967,150,7.7,73,78858,Action,$45.30M,45300000,5400000
Cabaret,1972,124,7.8,80,59119,Drama,$42.77M,42770000,6000000
Psycho,1960,109,8.5,97,715718,Horror,$32.00M,32000000,806948
Rebecca,1940,130,8.1,86,146211,Drama,$4.36M,4360000,1288000
Notorious,1946,102,7.9,100,106938,Drama,$10.46M,10460000,2000000
The Bridge on the River Kwai,1957,161,8.1,88,232645,Adventure,$44.91M,44910000,3000000
Doctor Zhivago,1965,197,7.9,69,81820,Drama,$111.72M,111720000,11000000
"Il buono, il brutto, il cattivo",1966,161,8.8,90,808059,Adventure,$6.10M,6100000,1200000
Charade,1963,113,7.8,83,85196,Comedy,$13.47M,13470000,4000000
The Conversation,1974,113,7.7,87,121187,Drama,$4.42M,4420000,1600000
Vertigo,1958,128,8.3,100,425385,Mystery,$3.20M,3200000,2479000
The Blue Lagoon,1980,104,5.8,31,76217,Adventure,$58.85M,58850000,4500000
Marnie,1964,130,7.1,73,53670,Crime,$7.00M,7000000,2135161
Deliverance,1972,109,7.7,80,118842,Adventure,$7.06M,7060000,2000000
Saturday Night Fever,1977,118,6.8,77,87091,Drama,$94.21M,94210000,3500000
Friday the 13th,1980,95,6.4,22,156829,Horror,$39.75M,39750000,550000
Dog Day Afternoon,1975,125,8,86,272254,Biography,$50.00M,50000000,1800000
Rear Window,1954,112,8.5,100,520357,Mystery,$36.76M,36760000,1000000
"It's a Mad, Mad, Mad, Mad World",1963,210,7.5,59,45881,Action,$46.30M,46300000,9400000
My Fair Lady,1964,170,7.7,95,101519,Drama,$72.00M,72000000,17000000
Alien,1979,117,8.5,89,945866,Horror,$78.90M,78900000,11000000
Star Wars,1977,121,8.6,90,1444539,Action,$322.74M,322740000,11000000
Carrie,1976,98,7.4,86,205836,Horror,$33.80M,33800000,1800000
The Hustler,1961,134,8,90,86587,Drama,$8.28M,8280000,2000000
12 Angry Men,1957,96,9,97,860130,Crime,$4.36M,4360000,350000
Citizen Kane,1941,119,8.3,100,464602,Drama,$1.59M,1590000,839727
Oliver!,1968,153,7.4,74,41277,Drama,$16.80M,16800000,10000000
Apocalypse Now,1979,147,8.4,94,707267,Drama,$83.47M,83470000,31500000
Dial M for Murder,1954,105,8.2,75,188119,Crime,$0.01M,10000,1400000
